Username,Password
khushi,1234

arya,$2b$12$dTUipTm4J1NSnD0oI5MJGu4bIDFnh1BD3fmdQdW/Vaa5pP/0TKnJ.
khushi trivedi,$2b$12$qy6uAQRFDc1VG.sk7.hWAupNvcnUsXAmGysrooV99i6dSI.t3vDZG
khushi,$2b$12$7UC6BpqqpWkXswajIHXPLu0PQOZHwYn1PmCA01DQH6uh2xIuv9a0y
trivedi,$2b$12$59E6Q1S8oPJN2gXxEvPehOJ9y52WcybwfDO/OCt7vDDOp2wEA/P8S
abc,$2b$12$c01DwyvCN5DWYxHqj3ZtNevM7745yGsv4CqYcjvfgvly.TOseN0gm
abc,$2b$12$Z4iM4vXfjmCzJso6PSq5cOgz5qsIk3ZhjjnIn5kPuclvGbNbqV9/y
abc,$2b$12$Tl1XSYzHEBn3nyIuSwDFR.NMdPZFVFiy2f6QbEtbtwZQhkz6AZlha
abcd,$2b$12$G..KaDhpLUVJ6PuRbCIIeujrUgwrPFgy5AmOt0Xi3rlI.QSueAEbq
